No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
59,UI,Use Material 3 components,M3 design system with dynamic theming,useMaterial3: true with M3 widgets,Material 2 patterns in new projects,"MaterialApp(theme: ThemeData(useMaterial3: true, colorScheme: ColorScheme.fromSeed(seedColor: Colors.blue)))","ThemeData(primarySwatch: Colors.blue) // M2",High,https://docs.flutter.dev/ui/design/material
60,UI,Use Slivers for scroll effects,CustomScrollView with Slivers for complex scrolling,SliverAppBar SliverList SliverGrid,Nested ListView or SingleChildScrollView,"CustomScrollView(slivers: [SliverAppBar.large(), SliverList.builder(itemBuilder: ...)])","ListView(children: [AppBar(), ListView()]) // nested",High,https://api.flutter.dev/flutter/widgets/CustomScrollView-class.html
61,Navigation,Use auto_route for complex apps,Type-safe code-generated routing,auto_route with @RoutePage annotations,Manual route management in large apps,"@RoutePage() class HomeScreen extends StatelessWidget {} // auto_route","Navigator.push(context, MaterialPageRoute(builder: ...)) everywhere",Medium,https://pub.dev/packages/auto_route
62,Navigation,Handle predictive back gesture,Android 14+ predictive back support,PopScope with onPopInvokedWithResult,Ignore predictive back on Android 14+,"PopScope(canPop: false, onPopInvokedWithResult: (didPop, result) { if (!didPop) handleBack(); })","WillPopScope(onWillPop: ...) // deprecated",High,https://developer.android.com/guide/navigation/custom-back/predictive-back-gesture
63,Platform,Optimize for Flutter Web,Web-specific patterns and lazy loading,kIsWeb checks and deferred imports,Assume mobile patterns work on web,"if (kIsWeb) { // web-specific } import 'heavy.dart' deferred as heavy;","// Same code for mobile and web without checks",Medium,https://docs.flutter.dev/platform-integration/web
64,Platform,Support desktop form factors,Keyboard shortcuts hover states scroll physics,Shortcuts Actions FocusNode for desktop,Touch-only patterns on desktop,"Shortcuts(shortcuts: {LogicalKeySet(LogicalKeyboardKey.escape): DismissIntent()}, child: Actions(...))","// No keyboard navigation support",Medium,https://docs.flutter.dev/platform-integration/desktop
65,Animation,Use flutter_animate package,Declarative animation composition,Chained animate methods for sequences,Complex AnimationController for simple sequences,"widget.animate().fadeIn(duration: 300.ms).slideX(begin: -0.1)","AnimationController + Tween + AnimatedBuilder // for fade+slide",Low,https://pub.dev/packages/flutter_animate
66,Testing,Use golden tests for visual regression,Pixel-perfect screenshot testing,matchesGoldenFile for critical UI,Skip visual regression testing,"await expectLater(find.byType(MyWidget), matchesGoldenFile('goldens/my_widget.png'));","// No visual testing",Medium,https://api.flutter.dev/flutter/flutter_test/matchesGoldenFile.html
67,Testing,Use patrol for integration tests,Better integration test framework,Patrol for native interaction testing,Basic integration_test only for complex apps,"await $.native.tap('Allow'); await $(#loginButton).tap();","// Cannot interact with native dialogs",Medium,https://pub.dev/packages/patrol
68,Architecture,Use feature-first folder structure,Organize by feature not layer,/features/auth/ /features/home/ structure,Layer-first /screens/ /widgets/ /services/,"lib/features/auth/(data/domain/presentation) lib/features/home/...","lib/screens/ lib/widgets/ lib/services/ // hard to scale",Medium,https://docs.flutter.dev/app-architecture
69,Architecture,Apply clean architecture,Separation of data domain presentation layers,Repository pattern with dependency injection,Business logic in widgets,"class UserRepository { Future<User> getUser(); } // injected via Riverpod","// API calls directly in widgets",High,https://docs.flutter.dev/app-architecture/design-patterns
70,UI,Use SelectableRegion for text selection,Native text selection across widgets,SelectableRegion for selectable content,Custom selection implementations,"SelectableRegion(selectionControls: materialTextSelectionControls, child: Column(...))","// Custom gesture detector for selection",Low,https://api.flutter.dev/flutter/widgets/SelectableRegion-class.html
