No,Pattern Name,Keywords,Section Order,Primary CTA Placement,Color Strategy,Recommended Effects,Conversion Optimization,Layout_CSS,Grid_System_Config,Bento_Layout_Map,Responsive_Strategy
11,AI Personalization Landing,"ai, personalization, smart, recommendation, dynamic","1. Dynamic hero (personalized), 2. Relevant features, 3. Tailored testimonials, 4. Smart CTA",Context-aware placement based on user segment,Adaptive based on user data. A/B test color variations per segment.,"Dynamic content swap, fade transitions, personalized product recommendations",20%+ conversion with personalization. Requires analytics integration. Fallback for new users.,".dynamic-hero { min-height: 100vh; display: flex; align-items: center; } .content-swap { transition: opacity 0.3s ease; } .personalized-grid { display: grid; grid-template-columns: repeat(auto-fit, minmax(280px, 1fr)); gap: 2rem; }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.
12,Waitlist/Coming Soon,"waitlist, coming-soon, launch, early-access, notify","1. Hero with countdown, 2. Product teaser/preview, 3. Email capture form, 4. Social proof (waitlist count)",Email form prominent (above fold) + Sticky form on scroll,Anticipation: Dark + accent highlights. Countdown in brand color. Urgency indicators.,"Countdown timer animation, email validation feedback, success confetti, social share buttons",Scarcity + exclusivity. Show waitlist count. Early access benefits. Referral program.,.waitlist-hero { min-height: 100vh; display: flex; flex-direction: column; align-items: center; justify-content: center; text-align: center; } .countdown { display: flex; gap: 1.5rem; } .countdown-item { display: flex; flex-direction: column; align-items: center; } .email-form { display: flex; gap: 0.5rem; max-width: 500px; },"{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.
13,Comparison Table Focus,"comparison, table, versus, compare, features","1. Hero (problem statement), 2. Comparison matrix (you vs competitors), 3. Feature deep-dive, 4. Winner CTA",After comparison table (highlighted row) + Bottom,Your product column highlighted (accent bg or green). Competitors neutral. Checkmarks green.,"Table row hover highlight, feature checkmark animations, sticky comparison header",Show value vs competitors. 35% higher conversion. Be factual. Include pricing if favorable.,".comparison-section { overflow-x: auto; } .comparison-matrix { width: 100%; min-width: 600px; } .comparison-matrix th { position: sticky; top: 0; background: #fff; } .your-product { background: linear-gradient(to bottom, #ecfdf5, #fff); }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.
14,Pricing-Focused Landing,"pricing, price, cost, plans, subscription","1. Hero (value proposition), 2. Pricing cards (3 tiers), 3. Feature comparison, 4. FAQ, 5. Final CTA",Each pricing card + Sticky CTA in nav + Bottom,Popular plan highlighted (brand color border/bg). Free: grey. Enterprise: dark/premium.,"Price toggle monthly/annual animation, card hover lift, FAQ accordion smooth open",Annual discount 20-30%. Recommend mid-tier (most popular badge). Address objections in FAQ.,".pricing-grid { display: grid; grid-template-columns: repeat(3, 1fr); gap: 2rem; } @media (max-width: 768px) { .pricing-grid { grid-template-columns: 1fr; } } .plan-card { padding: 2.5rem; border-radius: 1.5rem; } .plan-popular { border: 2px solid var(--brand); position: relative; }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.
15,App Store Style Landing,"app, mobile, download, store, install","1. Hero with device mockup, 2. Screenshots carousel, 3. Features with icons, 4. Reviews/ratings, 5. Download CTAs",Download buttons prominent (App Store + Play Store) throughout,Dark/light matching app store feel. Star ratings in gold. Screenshots with device frames.,"Device mockup rotations, screenshot slider, star rating animations, download button pulse",Show real screenshots. Include ratings (4.5+ stars). QR code for mobile. Platform-specific CTAs.,.app-hero { display: grid; grid-template-columns: 1fr 1fr; gap: 4rem; align-items: center; } .device-mockup { max-width: 300px; } .screenshots-carousel { display: flex; gap: 1.5rem; overflow-x: auto; scroll-snap-type: x mandatory; padding: 2rem 0; } .screenshot { scroll-snap-align: center; border-radius: 1rem; },"{""cols"":12,""gap"":""1rem"",""sidebar_width"":""250px"",""mobile_behavior"":""drawer""}","[{""area"":""sidebar"",""colSpan"":2,""rowSpan"":12,""sticky"":true},{""area"":""header"",""colSpan"":10,""rowSpan"":1},{""area"":""content"",""colSpan"":10,""rowSpan"":11}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.
16,FAQ/Documentation Landing,"faq, documentation, help, support, questions","1. Hero with search bar, 2. Popular categories, 3. FAQ accordion, 4. Contact/support CTA",Search bar prominent + Contact CTA for unresolved questions,"Clean, high readability. Minimal color. Category icons in brand color. Success green for resolved.","Search autocomplete, smooth accordion open/close, category hover, helpful feedback buttons",Reduce support tickets. Track search analytics. Show related articles. Contact escalation path.,".search-hero { padding: 4rem 0; text-align: center; } .search-input { max-width: 600px; width: 100%; padding: 1rem 1.5rem; font-size: 1.125rem; border-radius: 2rem; } .categories-grid { display: grid; grid-template-columns: repeat(auto-fit, minmax(200px, 1fr)); gap: 1.5rem; } .accordion-item { border-bottom: 1px solid #e5e7eb; }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.
17,Immersive/Interactive Experience,"immersive, interactive, experience, 3d, animation","1. Full-screen interactive element, 2. Guided product tour, 3. Key benefits revealed, 4. CTA after completion",After interaction complete + Skip option for impatient users,Immersive experience colors. Dark background for focus. Highlight interactive elements.,"WebGL, 3D interactions, gamification elements, progress indicators, reward animations",40% higher engagement. Performance trade-off. Provide skip option. Mobile fallback essential.,.immersive-container { position: fixed; inset: 0; background: #000; } .canvas-wrapper { width: 100%; height: 100vh; } .skip-button { position: fixed; bottom: 2rem; right: 2rem; z-index: 100; } .tour-overlay { position: absolute; pointer-events: none; },"{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.
18,Event/Conference Landing,"event, conference, meetup, registration, schedule","1. Hero (date/location/countdown), 2. Speakers grid, 3. Agenda/schedule, 4. Sponsors, 5. Register CTA",Register CTA sticky + After speakers + Bottom,Urgency colors (countdown). Event branding. Speaker cards professional. Sponsor logos neutral.,"Countdown timer, speaker hover cards with bio, agenda tabs, early bird countdown",Early bird pricing with deadline. Social proof (past attendees). Speaker credibility. Multi-ticket discounts.,".event-hero { min-height: 80vh; display: flex; flex-direction: column; justify-content: center; text-align: center; } .speakers-grid { display: grid; grid-template-columns: repeat(auto-fit, minmax(250px, 1fr)); gap: 2rem; } .agenda-tabs { display: flex; gap: 1rem; margin-bottom: 2rem; } .sponsors-row { display: flex; flex-wrap: wrap; justify-content: center; gap: 3rem; align-items: center; }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.
19,Product Review/Ratings Focused,"reviews, ratings, testimonials, social-proof, stars","1. Hero (product + aggregate rating), 2. Rating breakdown, 3. Individual reviews, 4. Buy/CTA",After reviews summary + Buy button alongside reviews,Trust colors. Star ratings gold. Verified badge green. Review sentiment colors.,"Star fill animations, review filtering, helpful vote interactions, photo lightbox",User-generated content builds trust. Show verified purchases. Filter by rating. Respond to negative reviews.,.product-hero { display: grid; grid-template-columns: 1fr 1fr; gap: 3rem; } .rating-breakdown { display: flex; flex-direction: column; gap: 0.5rem; } .rating-bar { display: flex; align-items: center; gap: 1rem; } .reviews-list { display: flex; flex-direction: column; gap: 1.5rem; },"{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.
20,Community/Forum Landing,"community, forum, social, members, discussion","1. Hero (community value prop), 2. Popular topics/categories, 3. Active members showcase, 4. Join CTA",Join button prominent + After member showcase,"Warm, welcoming. Member photos add humanity. Topic badges in brand colors. Activity indicators green.","Member avatars animation, activity feed live updates, topic hover previews, join success celebration","Show active community (member count, posts today). Highlight benefits. Preview content. Easy onboarding.",".community-hero { min-height: 70vh; display: flex; align-items: center; } .topics-grid { display: grid; grid-template-columns: repeat(auto-fit, minmax(280px, 1fr)); gap: 1.5rem; } .members-showcase { display: flex; } .avatar-stack { display: flex; } .avatar-stack img { margin-left: -0.75rem; border: 2px solid #fff; border-radius: 50%; }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.
21,Before-After Transformation,"before-after, transformation, results, comparison","1. Hero (problem state), 2. Transformation slider/comparison, 3. How it works, 4. Results CTA",After transformation reveal + Bottom,Contrast: muted/grey (before) vs vibrant/colorful (after). Success green for results.,"Slider comparison interaction, before/after reveal animations, result counters, testimonial videos",Visual proof of value. 45% higher conversion. Real results. Specific metrics. Guarantee offer.,".comparison-slider { position: relative; overflow: hidden; } .comparison-slider img { display: block; width: 100%; } .slider-handle { position: absolute; top: 0; bottom: 0; width: 4px; background: #fff; cursor: ew-resize; } .results-grid { display: grid; grid-template-columns: repeat(3, 1fr); gap: 2rem; text-align: center; }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.
22,Marketplace / Directory,"marketplace, directory, search, listing","1. Hero (Search focused), 2. Categories, 3. Featured Listings, 4. Trust/Safety, 5. CTA (Become a host/seller)",Hero Search Bar + Navbar 'List your item',Search: High contrast. Categories: Visual icons. Trust: Blue/Green.,"Search autocomplete animation, map hover pins, card carousel",Search bar is the CTA. Reduce friction to search. Popular searches suggestions.,".marketplace-hero { padding: 6rem 0; text-align: center; } .search-bar { display: flex; max-width: 700px; margin: 0 auto; } .categories-scroll { display: flex; gap: 1rem; overflow-x: auto; padding: 1rem 0; } .listings-grid { display: grid; grid-template-columns: repeat(auto-fill, minmax(280px, 1fr)); gap: 1.5rem; }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.
23,Newsletter / Content First,"newsletter, content, writer, blog, subscribe","1. Hero (Value Prop + Form), 2. Recent Issues/Archives, 3. Social Proof (Subscriber count), 4. About Author",Hero inline form + Sticky header form,Minimalist. Paper-like background. Text focus. Accent color for Subscribe.,"Text highlight animations, typewriter effect, subtle fade-in","Single field form (Email only). Show 'Join X,000 readers'. Read sample link.",.newsletter-hero { max-width: 600px; margin: 0 auto; padding: 8rem 1.5rem; text-align: center; } .subscribe-form { display: flex; gap: 0.5rem; justify-content: center; } .archives-list { display: flex; flex-direction: column; gap: 1rem; } .issue-card { display: flex; justify-content: space-between; padding: 1rem; border-bottom: 1px solid #e5e7eb; },"{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.
24,Webinar Registration,"webinar, registration, event, training, live","1. Hero (Topic + Timer + Form), 2. What you'll learn, 3. Speaker Bio, 4. Urgency/Bonuses, 5. Form (again)",Hero (Right side form) + Bottom anchor,Urgency: Red/Orange. Professional: Blue/Navy. Form: High contrast white.,"Countdown timer, speaker avatar float, urgent ticker",Limited seats logic. 'Live' indicator. Auto-fill timezone.,".webinar-hero { display: grid; grid-template-columns: 1fr 400px; gap: 4rem; align-items: start; min-height: 100vh; padding: 4rem 0; } .registration-form { background: #fff; padding: 2rem; border-radius: 1rem; box-shadow: 0 10px 40px rgba(0,0,0,0.1); position: sticky; top: 2rem; } .learn-list { display: grid; grid-template-columns: repeat(2, 1fr); gap: 1.5rem; }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.
25,Enterprise Gateway,"enterprise, corporate, gateway, solutions, portal","1. Hero (Video/Mission), 2. Solutions by Industry, 3. Solutions by Role, 4. Client Logos, 5. Contact Sales",Contact Sales (Primary) + Login (Secondary),Corporate: Navy/Grey. High integrity. Conservative accents.,"Slow video background, logo carousel, tab switching for industries",Path selection (I am a...). Mega menu navigation. Trust signals prominent.,".enterprise-hero { min-height: 90vh; display: flex; align-items: center; background: linear-gradient(135deg, #1e3a5f, #0f172a); } .solutions-tabs { display: flex; gap: 1rem; border-bottom: 1px solid #e5e7eb; } .solutions-grid { display: grid; grid-template-columns: repeat(3, 1fr); gap: 2rem; } .logos-carousel { display: flex; gap: 4rem; align-items: center; animation: scroll 20s linear infinite; }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.
26,Portfolio Grid,"portfolio, grid, showcase, gallery, masonry","1. Hero (Name/Role), 2. Project Grid (Masonry), 3. About/Philosophy, 4. Contact",Project Card Hover + Footer Contact,Neutral background (let work shine). Text: Black/White. Accent: Minimal.,"Image lazy load reveal, hover overlay info, lightbox view",Visuals first. Filter by category. Fast loading essential.,.portfolio-hero { min-height: 50vh; display: flex; flex-direction: column; justify-content: center; } .masonry-grid { columns: 3; column-gap: 1.5rem; } @media (max-width: 768px) { .masonry-grid { columns: 1; } } .project-card { break-inside: avoid; margin-bottom: 1.5rem; position: relative; overflow: hidden; },"{""cols"":12,""gap"":""1.5rem"",""mobile_cols"":1,""row_height"":""auto""}","[{""id"":""hero"",""colSpan"":8,""rowSpan"":2,""mobile"":{""colSpan"":1,""rowSpan"":1}},{""id"":""stat1"",""colSpan"":4,""rowSpan"":1,""mobile"":{""colSpan"":1,""rowSpan"":1}},{""id"":""stat2"",""colSpan"":4,""rowSpan"":1,""mobile"":{""colSpan"":1,""rowSpan"":1}},{""id"":""feature1"",""colSpan"":4,""rowSpan"":1,""mobile"":{""colSpan"":1,""rowSpan"":1}},{""id"":""feature2"",""colSpan"":4,""rowSpan"":1,""mobile"":{""colSpan"":1,""rowSpan"":1}},{""id"":""feature3"",""colSpan"":4,""rowSpan"":1,""mobile"":{""colSpan"":1,""rowSpan"":1}}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.
27,Horizontal Scroll Journey,"horizontal, scroll, journey, gallery, storytelling, panoramic","1. Intro (Vertical), 2. The Journey (Horizontal Track), 3. Detail Reveal, 4. Vertical Footer",Floating Sticky CTA or End of Horizontal Track,Continuous palette transition. Chapter colors. Progress bar #000000.,"Scroll-jacking (careful), parallax layers, horizontal slide, progress indicator",Immersive product discovery. High engagement. Keep navigation visible.,.horizontal-wrapper { overflow-x: hidden; } .horizontal-track { display: flex; width: max-content; } .horizontal-section { width: 100vw; height: 100vh; flex-shrink: 0; display: flex; align-items: center; justify-content: center; } .scroll-progress { position: fixed; bottom: 2rem; left: 50%; transform: translateX(-50%); },"{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.
28,Bento Grid Showcase,"bento, grid, features, modular, apple-style, showcase","1. Hero, 2. Bento Grid (Key Features), 3. Detail Cards, 4. Tech Specs, 5. CTA",Floating Action Button or Bottom of Grid,Card backgrounds: #F5F5F7 or Glass. Icons: Vibrant brand colors. Text: Dark.,"Hover card scale (1.02), video inside cards, tilt effect, staggered reveal",Scannable value props. High information density without clutter. Mobile stack.,".bento-grid { display: grid; grid-template-columns: repeat(4, 1fr); grid-template-rows: repeat(3, 200px); gap: 1rem; } .bento-item.large { grid-column: span 2; grid-row: span 2; } .bento-item { background: #f5f5f7; border-radius: 1.5rem; padding: 2rem; } @media (max-width: 768px) { .bento-grid { grid-template-columns: 1fr; } .bento-item.large { grid-column: span 1; grid-row: span 1; } }","{""cols"":12,""gap"":""1.5rem"",""mobile_cols"":1,""row_height"":""auto""}","[{""id"":""hero"",""colSpan"":8,""rowSpan"":2,""mobile"":{""colSpan"":1,""rowSpan"":1}},{""id"":""stat1"",""colSpan"":4,""rowSpan"":1,""mobile"":{""colSpan"":1,""rowSpan"":1}},{""id"":""stat2"",""colSpan"":4,""rowSpan"":1,""mobile"":{""colSpan"":1,""rowSpan"":1}},{""id"":""feature1"",""colSpan"":4,""rowSpan"":1,""mobile"":{""colSpan"":1,""rowSpan"":1}},{""id"":""feature2"",""colSpan"":4,""rowSpan"":1,""mobile"":{""colSpan"":1,""rowSpan"":1}},{""id"":""feature3"",""colSpan"":4,""rowSpan"":1,""mobile"":{""colSpan"":1,""rowSpan"":1}}]",Desktop: Complex Grid (Auto-fit). Tablet: 2-col Masonry. Mobile: Linear Stack (Order: Hero -> Stats -> Features).
29,Interactive 3D Configurator,"3d, configurator, customizer, interactive, product","1. Hero (Configurator), 2. Feature Highlight (synced), 3. Price/Specs, 4. Purchase",Inside Configurator UI + Sticky Bottom Bar,Neutral studio background. Product: Realistic materials. UI: Minimal overlay.,"Real-time rendering, material swap animation, camera rotate/zoom, light reflection",Increases ownership feeling. 360 view reduces return rates. Direct add-to-cart.,.configurator-layout { display: grid; grid-template-columns: 1fr 350px; height: 100vh; } .canvas-container { background: #f5f5f5; } .config-panel { padding: 2rem; overflow-y: auto; } .option-group { margin-bottom: 2rem; } .color-swatches { display: flex; gap: 0.5rem; } .sticky-price { position: sticky; bottom: 0; background: #fff; padding: 1.5rem; border-top: 1px solid #e5e7eb; },"{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.
30,AI-Driven Dynamic Landing,"ai, dynamic, personalized, adaptive, generative","1. Prompt/Input Hero, 2. Generated Result Preview, 3. How it Works, 4. Value Prop",Input Field (Hero) + 'Try it' Buttons,Adaptive to user input. Dark mode for compute feel. Neon accents.,"Typing text effects, shimmering generation loaders, morphing layouts","Immediate value demonstration. 'Show, don't tell'. Low friction start.",.ai-hero { min-height: 100vh; display: flex; flex-direction: column; align-items: center; justify-content: center; background: #0a0a0a; } .prompt-input { width: 100%; max-width: 600px; padding: 1.5rem; background: #1a1a1a; border: 1px solid #333; border-radius: 1rem; color: #fff; } .result-preview { margin-top: 2rem; padding: 2rem; background: #111; border-radius: 1rem; min-height: 200px; },"{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.
